## Fri Jan 20 14:08:03 2023
## emapper-2.1.9
## /data/shared/home/emapper/miniconda3/envs/eggnog-mapper-2.1/bin/emapper.py --cpu 20 --mp_start_method forkserver --data_dir /dev/shm/ -o out --output_dir /emapper_web_jobs/emapper_jobs/user_data/MM_g7safdbh --temp_dir /emapper_web_jobs/emapper_jobs/user_data/MM_g7safdbh --override -m diamond --dmnd_ignore_warnings -i /emapper_web_jobs/emapper_jobs/user_data/MM_g7safdbh/queries.fasta --evalue 0.001 --score 60 --pident 40 --query_cover 20 --subject_cover 20 --itype proteins --tax_scope 1224 --target_orthologs all --go_evidence non-electronic --pfam_realign none --report_orthologs --decorate_gff yes --excel
##
query	seed_ortholog	evalue	score	eggNOG_OGs	max_annot_lvl	COG_category	Description	Preferred_name	GOs	EC	KEGG_ko	KEGG_Pathway	KEGG_Module	KEGG_Reaction	KEGG_rclass	BRITE	KEGG_TC	CAZy	BiGG_Reaction	PFAMs
FNPKGJ_08625	1523503.JPMY01000035_gene3107	2.49e-22	91.3	COG0847@1|root,COG0847@2|Bacteria,1NKVC@1224|Proteobacteria	1224|Proteobacteria	L	3' exoribonuclease, RNase T-like	-	-	-	-	-	-	-	-	-	-	-	-	DUF5051
FNPKGJ_08635	629265.PMA4326_23736	6.51e-17	77.4	2AU8P@1|root,31JVZ@2|Bacteria,1QHNV@1224|Proteobacteria,1TFCI@1236|Gammaproteobacteria,1ZAGS@136849|Pseudomonas syringae group	1224|Proteobacteria	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
FNPKGJ_08645	1112217.PPL19_03920	6.83e-135	398.0	COG3843@1|root,COG3843@2|Bacteria,1N5MW@1224|Proteobacteria,1S1DN@1236|Gammaproteobacteria	1224|Proteobacteria	U	PFAM Relaxase mobilization nuclease family protein	-	-	-	-	-	-	-	-	-	-	-	-	Relaxase
FNPKGJ_08655	930166.CD58_18365	3.24e-276	775.0	2DBZR@1|root,2ZC39@2|Bacteria,1NM2D@1224|Proteobacteria,1RZTK@1236|Gammaproteobacteria	1224|Proteobacteria	S	Domain of unknown function (DUF4209)	-	-	-	-	-	-	-	-	-	-	-	-	DUF4209
FNPKGJ_08665	237609.PSAKL28_11730	3.74e-37	133.0	2CG81@1|root,2ZER8@2|Bacteria,1PAFM@1224|Proteobacteria,1SVCE@1236|Gammaproteobacteria	1224|Proteobacteria	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
FNPKGJ_08670	1123236.KB899385_gene2466	8.13e-67	216.0	2AY6E@1|root,31Q8F@2|Bacteria,1QIZI@1224|Proteobacteria,1RTSY@1236|Gammaproteobacteria,46C9Q@72275|Alteromonadaceae	1224|Proteobacteria	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
FNPKGJ_08685	690597.JH730961_gene4827	6.12e-45	149.0	2B210@1|root,31UHR@2|Bacteria,1QSDC@1224|Proteobacteria,1RVST@1236|Gammaproteobacteria,1YUC4@136843|Pseudomonas fluorescens group	1224|Proteobacteria	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
FNPKGJ_08690	1151127.KB906332_gene3725	2.85e-16	72.8	29J5P@1|root,30633@2|Bacteria,1QRJ1@1224|Proteobacteria,1RUJK@1236|Gammaproteobacteria,1YR36@136843|Pseudomonas fluorescens group	1224|Proteobacteria	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
FNPKGJ_08700	216595.PFLU_1602	1.44e-275	754.0	COG0477@1|root,COG2814@2|Bacteria,1MU9G@1224|Proteobacteria,1RM9G@1236|Gammaproteobacteria,1YSAT@136843|Pseudomonas fluorescens group	1224|Proteobacteria	EGP	Uncharacterised MFS-type transporter YbfB	araJ	GO:0005575,GO:0005623,GO:0005886,GO:0016020,GO:0044464,GO:0071944	-	ko:K08156,ko:K18567,ko:K19577	-	-	-	-	ko00000,ko02000	2.A.1.2.14,2.A.1.2.25,2.A.1.2.65	-	-	MFS_1,Sugar_tr
FNPKGJ_08705	216595.PFLU_1603	0.0	1791.0	COG0642@1|root,COG2205@2|Bacteria,1NRP8@1224|Proteobacteria,1RQCU@1236|Gammaproteobacteria	1224|Proteobacteria	T	Component of the Rcs signaling system, which controls transcription of numerous genes. RcsC functions as a membrane- associated protein kinase that phosphorylates RcsD in response to environmental signals. The phosphoryl group is then transferred to the response regulator RcsB	-	-	2.7.13.3	ko:K07677	ko02020,ko02026,map02020,map02026	M00474	-	-	ko00000,ko00001,ko00002,ko01000,ko01001,ko02022	-	-	-	CHASE,HAMP,HATPase_c,HisKA,Hpt,PAS,PAS_3,PAS_4,PAS_9,Response_reg
FNPKGJ_08710	216595.PFLU_1604	1.21e-285	780.0	COG2200@1|root,COG2200@2|Bacteria,1N299@1224|Proteobacteria,1RZJ9@1236|Gammaproteobacteria	1224|Proteobacteria	T	Putative diguanylate phosphodiesterase	-	-	-	-	-	-	-	-	-	-	-	-	EAL,Response_reg
FNPKGJ_08715	216595.PFLU_1605	0.0	1883.0	COG0642@1|root,COG2205@2|Bacteria,1NRP8@1224|Proteobacteria,1RQCU@1236|Gammaproteobacteria	1224|Proteobacteria	T	Component of the Rcs signaling system, which controls transcription of numerous genes. RcsC functions as a membrane- associated protein kinase that phosphorylates RcsD in response to environmental signals. The phosphoryl group is then transferred to the response regulator RcsB	-	-	2.7.13.3	ko:K07677	ko02020,ko02026,map02020,map02026	M00474	-	-	ko00000,ko00001,ko00002,ko01000,ko01001,ko02022	-	-	-	CHASE,HAMP,HATPase_c,HisKA,Hpt,PAS,PAS_3,PAS_4,PAS_9,Response_reg
FNPKGJ_08720	216595.PFLU_1606	1.14e-143	406.0	COG2197@1|root,COG2197@2|Bacteria,1MW84@1224|Proteobacteria,1RNK3@1236|Gammaproteobacteria	1224|Proteobacteria	K	Component of the Rcs signaling system, which controls transcription of numerous genes. RcsB is the response regulator that binds to regulatory DNA regions	rcsB	-	-	ko:K07687	ko02020,ko02026,map02020,map02026	M00474	-	-	ko00000,ko00001,ko00002,ko02022	-	-	-	GerE,Response_reg
FNPKGJ_08725	1357272.AVEO02000154_gene1791	6.15e-63	197.0	2AU5F@1|root,31JSB@2|Bacteria,1QHJ5@1224|Proteobacteria,1TF8I@1236|Gammaproteobacteria,1ZABB@136849|Pseudomonas syringae group	1224|Proteobacteria	S	Fimbrial protein	-	-	-	-	-	-	-	-	-	-	-	-	Fimbrial
FNPKGJ_08730	1357272.AVEO02000154_gene1792	9.3e-75	227.0	2AU5N@1|root,31JSI@2|Bacteria,1QHJD@1224|Proteobacteria,1TF8S@1236|Gammaproteobacteria,1ZABN@136849|Pseudomonas syringae group	1224|Proteobacteria	S	Fimbrial protein	-	-	-	-	-	-	-	-	-	-	-	-	-
FNPKGJ_08740	216595.PFLU_1610	0.0	1667.0	COG3188@1|root,COG3188@2|Bacteria,1MUHE@1224|Proteobacteria,1RMPU@1236|Gammaproteobacteria	1224|Proteobacteria	NU	Usher protein	fimD	GO:0003674,GO:0005215,GO:0005488,GO:0005539,GO:0005575,GO:0005623,GO:0006810,GO:0006950,GO:0006974,GO:0008150,GO:0008201,GO:0009279,GO:0009297,GO:0009987,GO:0015267,GO:0015288,GO:0015473,GO:0016020,GO:0016043,GO:0019867,GO:0022607,GO:0022803,GO:0022829,GO:0022857,GO:0030030,GO:0030031,GO:0030312,GO:0030313,GO:0031975,GO:0033554,GO:0043167,GO:0043168,GO:0043711,GO:0044085,GO:0044462,GO:0044464,GO:0050896,GO:0051179,GO:0051234,GO:0051716,GO:0055085,GO:0071840,GO:0071944,GO:0097367,GO:1901681	-	ko:K07347,ko:K07354	ko05133,map05133	-	-	-	ko00000,ko00001,ko02000,ko02035,ko02044	1.B.11.3	-	-	PapC_C,PapC_N,Usher
FNPKGJ_08745	216595.PFLU_1611	2.59e-162	454.0	COG3121@1|root,COG3121@2|Bacteria,1R3T9@1224|Proteobacteria,1RS56@1236|Gammaproteobacteria	1224|Proteobacteria	M	chaperone	-	-	-	-	-	-	-	-	-	-	-	-	PapD_C,PapD_N
FNPKGJ_08750	216595.PFLU_1612	1.48e-129	368.0	COG3539@1|root,COG3539@2|Bacteria,1N294@1224|Proteobacteria,1S90T@1236|Gammaproteobacteria	1224|Proteobacteria	NU	P pilus assembly protein, pilin FimA	lpfA	-	-	ko:K07345,ko:K07351	ko05133,map05133	-	-	-	ko00000,ko00001,ko02035,ko02044	-	-	-	Fimbrial
FNPKGJ_08755	216595.PFLU_1613	0.0	1089.0	COG0579@1|root,COG0579@2|Bacteria,1MUCC@1224|Proteobacteria,1RRBV@1236|Gammaproteobacteria,1YM4W@136843|Pseudomonas fluorescens group	1224|Proteobacteria	C	malate quinone oxidoreductase	mqo	-	1.1.5.4	ko:K00116	ko00020,ko00620,ko01100,ko01110,ko01120,ko01130,ko01200,map00020,map00620,map01100,map01110,map01120,map01130,map01200	M00009,M00011	R00360,R00361,R01257	RC00031	ko00000,ko00001,ko00002,ko01000	-	-	-	Mqo
FNPKGJ_08760	216595.PFLU_1614	1.28e-152	429.0	COG2085@1|root,COG2085@2|Bacteria,1RBKZ@1224|Proteobacteria,1RN3Y@1236|Gammaproteobacteria,1YS4H@136843|Pseudomonas fluorescens group	1224|Proteobacteria	S	NADP oxidoreductase coenzyme F420-dependent	-	-	1.5.1.40	ko:K06988	-	-	-	-	ko00000,ko01000	-	-	-	F420_oxidored
FNPKGJ_08765	216595.PFLU_1615	1.41e-210	582.0	COG0583@1|root,COG0583@2|Bacteria,1MW16@1224|Proteobacteria,1RS6U@1236|Gammaproteobacteria,1YSZP@136843|Pseudomonas fluorescens group	1224|Proteobacteria	K	Bacterial regulatory helix-turn-helix protein, lysR family	-	-	-	-	-	-	-	-	-	-	-	-	HTH_1,LysR_substrate
FNPKGJ_08770	216595.PFLU_1616	7.67e-52	166.0	2EQUD@1|root,33IE5@2|Bacteria,1N9A0@1224|Proteobacteria,1STJ0@1236|Gammaproteobacteria,1YR3N@136843|Pseudomonas fluorescens group	1224|Proteobacteria	S	YXWGXW repeat (2 copies)	-	-	-	-	-	-	-	-	-	-	-	-	YXWGXW
FNPKGJ_08775	216595.PFLU_1617	7.55e-82	242.0	2DUUV@1|root,307P5@2|Bacteria,1QS3E@1224|Proteobacteria,1RVEG@1236|Gammaproteobacteria,1YTW0@136843|Pseudomonas fluorescens group	1224|Proteobacteria	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
FNPKGJ_08780	321846.PS417_07995	0.0	918.0	COG1611@1|root,COG1611@2|Bacteria,1MVQJ@1224|Proteobacteria,1RQHX@1236|Gammaproteobacteria	1224|Proteobacteria	S	Rossmann fold nucleotide-binding protein	ygdH	GO:0003674,GO:0003824,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005829,GO:0016787,GO:0016798,GO:0016799,GO:0044424,GO:0044444,GO:0044464,GO:0047405	3.2.2.10	ko:K06966	ko00230,ko00240,map00230,map00240	-	R00182,R00510	RC00063,RC00318	ko00000,ko00001,ko01000	-	-	-	DUF3412,DUF4478,Lysine_decarbox
FNPKGJ_08785	216595.PFLU_1620	2.97e-207	572.0	COG3555@1|root,COG3555@2|Bacteria,1RCHQ@1224|Proteobacteria,1RV4S@1236|Gammaproteobacteria,1YTD8@136843|Pseudomonas fluorescens group	1224|Proteobacteria	O	Aspartyl/Asparaginyl beta-hydroxylase	-	-	-	ko:K12979	-	-	-	-	ko00000,ko01000,ko01005	-	-	-	Asp_Arg_Hydrox
FNPKGJ_08790	216595.PFLU_1621	1.79e-286	782.0	COG3007@1|root,COG3007@2|Bacteria,1MWCQ@1224|Proteobacteria,1RPPP@1236|Gammaproteobacteria,1YSR7@136843|Pseudomonas fluorescens group	1224|Proteobacteria	I	Involved in the final reduction of the elongation cycle of fatty acid synthesis (FAS II). Catalyzes the reduction of a carbon-carbon double bond in an enoyl moiety that is covalently linked to an acyl carrier protein (ACP)	fabV	GO:0000166,GO:0003674,GO:0003824,GO:0004312,GO:0004318,GO:0005488,GO:0006082,GO:0006629,GO:0006631,GO:0006633,GO:0008150,GO:0008152,GO:0008610,GO:0009058,GO:0009987,GO:0016053,GO:0016491,GO:0016627,GO:0016628,GO:0016740,GO:0016746,GO:0016747,GO:0019752,GO:0032787,GO:0036094,GO:0043436,GO:0044237,GO:0044238,GO:0044249,GO:0044255,GO:0044281,GO:0044283,GO:0046394,GO:0048037,GO:0050343,GO:0050662,GO:0051287,GO:0055114,GO:0071704,GO:0072330,GO:0097159,GO:1901265,GO:1901363,GO:1901576	1.3.1.44,1.3.1.9	ko:K00209	ko00061,ko00650,ko01100,ko01120,ko01200,ko01212,map00061,map00650,map01100,map01120,map01200,map01212	M00083	R01171,R04429,R04724,R04955,R04958,R04961,R04966,R04969	RC00052,RC00076	ko00000,ko00001,ko00002,ko01000,ko01004	-	-	-	Eno-Rase_FAD_bd,Eno-Rase_NADH_b,Enoyl_reductase
FNPKGJ_08795	216595.PFLU_1622	3.14e-300	818.0	COG3064@1|root,COG3064@2|Bacteria,1R4B3@1224|Proteobacteria,1S3GN@1236|Gammaproteobacteria	1224|Proteobacteria	M	Anthrax toxin LF subunit	exoY	-	-	ko:K16637	-	-	-	-	ko00000,ko02042	-	-	-	Anthrax_toxA
FNPKGJ_08800	216595.PFLU_1623	4.06e-214	591.0	COG0583@1|root,COG0583@2|Bacteria,1MW16@1224|Proteobacteria,1RRQY@1236|Gammaproteobacteria,1YNQ3@136843|Pseudomonas fluorescens group	1224|Proteobacteria	K	Transcriptional regulator	-	-	-	-	-	-	-	-	-	-	-	-	HTH_1,LysR_substrate
FNPKGJ_08805	216595.PFLU_1624	3.57e-282	771.0	COG4992@1|root,COG4992@2|Bacteria,1MV3C@1224|Proteobacteria,1RMV1@1236|Gammaproteobacteria,1YMW6@136843|Pseudomonas fluorescens group	1224|Proteobacteria	E	acetylornithine aminotransferase	argD	-	2.6.1.11,2.6.1.17	ko:K00821	ko00220,ko00300,ko01100,ko01110,ko01120,ko01130,ko01210,ko01230,map00220,map00300,map01100,map01110,map01120,map01130,map01210,map01230	M00016,M00028,M00845	R02283,R04475	RC00006,RC00062	ko00000,ko00001,ko00002,ko01000,ko01007	-	-	iAF987.Gmet_0204	Aminotran_3
FNPKGJ_08810	216595.PFLU_1625	1.19e-228	628.0	COG0583@1|root,COG0583@2|Bacteria,1P293@1224|Proteobacteria,1RPK0@1236|Gammaproteobacteria,1YT5N@136843|Pseudomonas fluorescens group	1224|Proteobacteria	K	Bacterial regulatory helix-turn-helix protein, lysR family	ydhB	-	-	-	-	-	-	-	-	-	-	-	HTH_1,LysR_substrate
FNPKGJ_08815	216595.PFLU_1626	2.4e-278	761.0	COG0477@1|root,COG2814@2|Bacteria,1N196@1224|Proteobacteria,1RPMD@1236|Gammaproteobacteria,1YSYS@136843|Pseudomonas fluorescens group	1224|Proteobacteria	EGP	Sugar (and other) transporter	ydhC	GO:0005575,GO:0005623,GO:0005886,GO:0016020,GO:0044464,GO:0071944	-	-	-	-	-	-	-	-	-	-	MFS_1
FNPKGJ_08820	216595.PFLU_1627	3.08e-206	569.0	COG3248@1|root,COG3248@2|Bacteria,1R7UE@1224|Proteobacteria,1S1P9@1236|Gammaproteobacteria,1YTBR@136843|Pseudomonas fluorescens group	1224|Proteobacteria	M	Nucleoside-binding outer membrane protein	-	-	-	-	-	-	-	-	-	-	-	-	-
FNPKGJ_08825	216595.PFLU_1628	0.0	921.0	COG2233@1|root,COG2233@2|Bacteria,1MUN9@1224|Proteobacteria,1RMGW@1236|Gammaproteobacteria,1YM5S@136843|Pseudomonas fluorescens group	1224|Proteobacteria	F	Permease family	pbuX	-	-	ko:K03458	-	-	-	-	ko00000	2.A.40	-	-	Xan_ur_permease
FNPKGJ_08835	216595.PFLU_1629	3.31e-238	653.0	COG2267@1|root,COG2267@2|Bacteria,1Q3PZ@1224|Proteobacteria,1RRIE@1236|Gammaproteobacteria,1YS95@136843|Pseudomonas fluorescens group	1224|Proteobacteria	I	Alpha/beta hydrolase family	-	-	3.4.11.5,3.5.1.101	ko:K01259,ko:K18457	ko00330,map00330	-	R00135	-	ko00000,ko00001,ko01000,ko01002	-	-	-	Abhydrolase_1
FNPKGJ_08840	216595.PFLU_1630	4.01e-186	516.0	COG2197@1|root,COG2197@2|Bacteria,1MXYY@1224|Proteobacteria,1RSG4@1236|Gammaproteobacteria,1YUP1@136843|Pseudomonas fluorescens group	1224|Proteobacteria	K	Autoinducer binding domain	-	-	-	ko:K07782	ko02020,ko02024,ko02026,map02020,map02024,map02026	-	-	-	ko00000,ko00001,ko03000	-	-	-	Autoind_bind,GerE
FNPKGJ_08845	216595.PFLU_1631	1.68e-228	627.0	COG0596@1|root,COG0596@2|Bacteria,1R5ID@1224|Proteobacteria,1T1TW@1236|Gammaproteobacteria,1YSHT@136843|Pseudomonas fluorescens group	1224|Proteobacteria	S	Alpha/beta hydrolase family	-	-	3.4.11.5	ko:K01259	ko00330,map00330	-	R00135	-	ko00000,ko00001,ko01000,ko01002	-	-	-	Abhydrolase_1
FNPKGJ_08850	216595.PFLU_1632	4.69e-211	585.0	COG0601@1|root,COG0601@2|Bacteria,1NVWR@1224|Proteobacteria,1RRKJ@1236|Gammaproteobacteria,1YR9U@136843|Pseudomonas fluorescens group	1224|Proteobacteria	U	Binding-protein-dependent transport system inner membrane component	-	-	-	ko:K02033	ko02024,map02024	M00239	-	-	ko00000,ko00001,ko00002,ko02000	3.A.1.5	-	-	BPD_transp_1
FNPKGJ_08855	216595.PFLU_1633	2.15e-201	558.0	COG1173@1|root,COG1173@2|Bacteria,1Q76K@1224|Proteobacteria,1RPN5@1236|Gammaproteobacteria	1224|Proteobacteria	P	abc transporter, permease	-	-	-	ko:K02034	ko02024,map02024	M00239	-	-	ko00000,ko00001,ko00002,ko02000	3.A.1.5	-	-	BPD_transp_1,OppC_N
FNPKGJ_08860	216595.PFLU_1634	3.53e-228	628.0	COG0444@1|root,COG0444@2|Bacteria,1R4KB@1224|Proteobacteria,1S103@1236|Gammaproteobacteria	1224|Proteobacteria	P	Belongs to the ABC transporter superfamily	oppD	-	-	ko:K02031,ko:K12371	ko02010,ko02024,map02010,map02024	M00239,M00324	-	-	ko00000,ko00001,ko00002,ko02000	3.A.1.5	-	-	ABC_tran,oligo_HPY
FNPKGJ_08865	216595.PFLU_1635	5.83e-225	620.0	COG4608@1|root,COG4608@2|Bacteria,1NU4K@1224|Proteobacteria,1RZPA@1236|Gammaproteobacteria,1YRZ1@136843|Pseudomonas fluorescens group	1224|Proteobacteria	E	Oligopeptide/dipeptide transporter, C-terminal region	-	-	-	ko:K02032,ko:K12372	ko02010,ko02024,map02010,map02024	M00239,M00324	-	-	ko00000,ko00001,ko00002,ko02000	3.A.1.5	-	-	ABC_tran,oligo_HPY
FNPKGJ_08870	216595.PFLU_1636	0.0	1000.0	COG0747@1|root,COG0747@2|Bacteria,1R410@1224|Proteobacteria,1RRXP@1236|Gammaproteobacteria,1YTAP@136843|Pseudomonas fluorescens group	1224|Proteobacteria	E	Bacterial extracellular solute-binding proteins, family 5 Middle	-	-	-	ko:K02035	ko02024,map02024	M00239	-	-	ko00000,ko00001,ko00002,ko02000	3.A.1.5	-	-	SBP_bac_5
FNPKGJ_08875	216595.PFLU_1637	3.26e-172	481.0	COG1028@1|root,COG1028@2|Bacteria,1MWBC@1224|Proteobacteria,1RNNV@1236|Gammaproteobacteria,1YNCP@136843|Pseudomonas fluorescens group	1224|Proteobacteria	IQ	KR domain	yciK	GO:0003674,GO:0003824,GO:0005575,GO:0005622,GO:0005623,GO:0008150,GO:0008152,GO:0009056,GO:0016491,GO:0044464,GO:0055114,GO:0071704,GO:1901575	-	-	-	-	-	-	-	-	-	-	adh_short
FNPKGJ_08880	216595.PFLU_1638	1.06e-161	452.0	COG0546@1|root,COG0546@2|Bacteria,1RCXJ@1224|Proteobacteria,1S3VU@1236|Gammaproteobacteria,1YQ36@136843|Pseudomonas fluorescens group	1224|Proteobacteria	S	Phosphoglycolate phosphatase	gph	GO:0000270,GO:0003674,GO:0003824,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005829,GO:0006022,GO:0006040,GO:0006082,GO:0006139,GO:0006259,GO:0006281,GO:0006725,GO:0006793,GO:0006796,GO:0006807,GO:0006950,GO:0006974,GO:0008150,GO:0008152,GO:0008967,GO:0009254,GO:0009987,GO:0016311,GO:0016787,GO:0016788,GO:0016791,GO:0019752,GO:0030203,GO:0033554,GO:0034641,GO:0042578,GO:0043170,GO:0043436,GO:0044237,GO:0044238,GO:0044260,GO:0044281,GO:0044424,GO:0044444,GO:0044464,GO:0046483,GO:0050896,GO:0051716,GO:0071704,GO:0090304,GO:0097172,GO:1901135,GO:1901360,GO:1901564	3.1.3.105,3.1.3.18	ko:K01091,ko:K22292	ko00520,ko00630,ko01100,ko01110,ko01130,map00520,map00630,map01100,map01110,map01130	-	R01334,R11785	RC00017	ko00000,ko00001,ko01000	-	-	-	HAD_2
FNPKGJ_08885	216595.PFLU_1639	7.18e-169	471.0	COG2227@1|root,COG2227@2|Bacteria,1MU89@1224|Proteobacteria,1RMV7@1236|Gammaproteobacteria,1YNF7@136843|Pseudomonas fluorescens group	1224|Proteobacteria	H	O-methyltransferase that catalyzes the 2 O-methylation steps in the ubiquinone biosynthetic pathway	ubiG	GO:0003674,GO:0003824,GO:0005488,GO:0005543,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005829,GO:0006732,GO:0006733,GO:0006743,GO:0006744,GO:0006950,GO:0006970,GO:0006972,GO:0008150,GO:0008152,GO:0008168,GO:0008171,GO:0008289,GO:0008689,GO:0008757,GO:0009058,GO:0009108,GO:0009628,GO:0009651,GO:0009987,GO:0016740,GO:0016741,GO:0032259,GO:0042180,GO:0042181,GO:0042538,GO:0043167,GO:0043168,GO:0043431,GO:0044237,GO:0044249,GO:0044281,GO:0044283,GO:0044424,GO:0044444,GO:0044464,GO:0050896,GO:0051186,GO:0051188,GO:0061542,GO:0071704,GO:1901576,GO:1901611,GO:1901661,GO:1901663	2.1.1.222,2.1.1.64	ko:K00568	ko00130,ko01100,ko01110,map00130,map01100,map01110	M00117	R04988,R05614,R08769,R08781	RC00003,RC00392,RC01895	ko00000,ko00001,ko00002,ko01000	-	-	iE2348C_1286.E2348C_2376	Methyltransf_23
FNPKGJ_08890	216595.PFLU_1640	0.0	884.0	COG0402@1|root,COG0402@2|Bacteria,1MVPA@1224|Proteobacteria,1RN13@1236|Gammaproteobacteria,1YN7X@136843|Pseudomonas fluorescens group	1224|Proteobacteria	F	Catalyzes the deamination of 5-methylthioadenosine and S-adenosyl-L-homocysteine into 5-methylthioinosine and S-inosyl-L- homocysteine, respectively. Is also able to deaminate adenosine	mtaD	-	3.5.4.28,3.5.4.31,3.5.4.32	ko:K12960,ko:K18456	ko00270,ko01100,map00270,map01100	-	R09660	RC00477	ko00000,ko00001,ko01000	-	-	-	Amidohydro_1
FNPKGJ_08895	216595.PFLU_1641	1.38e-252	693.0	COG0182@1|root,COG0182@2|Bacteria,1MUPM@1224|Proteobacteria,1RMGC@1236|Gammaproteobacteria,1YNHY@136843|Pseudomonas fluorescens group	1224|Proteobacteria	E	Catalyzes the interconversion of methylthioribose-1- phosphate (MTR-1-P) into methylthioribulose-1-phosphate (MTRu-1- P)	mtnA	GO:0000096,GO:0000097,GO:0003674,GO:0003824,GO:0006082,GO:0006520,GO:0006555,GO:0006790,GO:0006807,GO:0008150,GO:0008152,GO:0008652,GO:0009058,GO:0009066,GO:0009067,GO:0009086,GO:0009987,GO:0016053,GO:0016853,GO:0016860,GO:0016861,GO:0017144,GO:0019509,GO:0019752,GO:0043094,GO:0043102,GO:0043436,GO:0044237,GO:0044238,GO:0044249,GO:0044272,GO:0044281,GO:0044283,GO:0046394,GO:0046523,GO:0071265,GO:0071267,GO:0071704,GO:1901564,GO:1901566,GO:1901576,GO:1901605,GO:1901607	5.3.1.23	ko:K08963	ko00270,ko01100,map00270,map01100	M00034	R04420	RC01151	ko00000,ko00001,ko00002,ko01000	-	-	iAF987.Gmet_0072	IF-2B
FNPKGJ_08900	216595.PFLU_1643	0.0	1610.0	COG0188@1|root,COG0188@2|Bacteria,1MUGG@1224|Proteobacteria,1RN03@1236|Gammaproteobacteria,1YPD6@136843|Pseudomonas fluorescens group	1224|Proteobacteria	L	A type II topoisomerase that negatively supercoils closed circular double-stranded (ds) DNA in an ATP-dependent manner to modulate DNA topology and maintain chromosomes in an underwound state. Negative supercoiling favors strand separation, and DNA replication, transcription, recombination and repair, all of which involve strand separation. Also able to catalyze the interconversion of other topological isomers of dsDNA rings, including catenanes and knotted rings. Type II topoisomerases break and join 2 DNA strands simultaneously in an ATP-dependent manner	gyrA	GO:0003674,GO:0003676,GO:0003677,GO:0003824,GO:0003916,GO:0003918,GO:0005488,GO:0005515,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005829,GO:0006139,GO:0006259,GO:0006265,GO:0006351,GO:0006725,GO:0006807,GO:0006996,GO:0008094,GO:0008150,GO:0008152,GO:0009058,GO:0009059,GO:0009987,GO:0010467,GO:0016043,GO:0016070,GO:0016462,GO:0016787,GO:0016817,GO:0016818,GO:0016853,GO:0016887,GO:0017111,GO:0018130,GO:0019438,GO:0032774,GO:0034335,GO:0034641,GO:0034645,GO:0034654,GO:0042221,GO:0042493,GO:0042623,GO:0042802,GO:0043170,GO:0044237,GO:0044238,GO:0044249,GO:0044260,GO:0044271,GO:0044424,GO:0044444,GO:0044464,GO:0046483,GO:0050896,GO:0051276,GO:0061505,GO:0071103,GO:0071704,GO:0071840,GO:0090304,GO:0097159,GO:0097659,GO:0140097,GO:1901360,GO:1901362,GO:1901363,GO:1901576	5.99.1.3	ko:K02469	-	-	-	-	ko00000,ko01000,ko03032,ko03400	-	-	-	DNA_gyraseA_C,DNA_topoisoIV
